experiment_id,experiment_name,status,outcome_category,primary_split,wall_iou,wall_dice,boundary_f1_2px,centerline_cldice,junction_f1_5px,door_object_f1,selected_thresholds,checkpoint_sha256,git_commit,dvc_hash_or_status,artifact_location,evidence_status,notes
01_binary_mitunet,Binary MitUNet baseline,completed,baseline_positive,validation,0.8179796353020612,0.8998776657541074,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,wall=0.1,fb9665056aa06057a571f247882ba5d32abde297215f2ae94d210759f540b72f,UNKNOWN,UNKNOWN,/home/pmharris/dev/mitunet/experiments/cubicasa5k_mitunet/full_gpu,VERIFIED,Primary metrics are best validation; test metrics are recorded in experiments/01_binary_mitunet/metrics.json.
02_hybrid_tiling,Hybrid tiling / 1024 global-patch sweep,completed,mixed_positive,validation,0.8261317505223036,0.9047887703458596,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,wall=0.5; global_weight=1.0; patch_weight=0.0,42cad015bf894e6afe11011424b7ed88c49a1512f81593f14df5b228d65a3910,UNKNOWN,external manifest present; DVC hash UNKNOWN,/home/pmharris/dev/mitunet/reports/binary_wall_hybrid_global_patch/20260723T021006Z and /mnt/e/AI_Team/mitunet/experiments/binary_wall_hybrid_global_patch/20260723T021043Z,VERIFIED,Best locked fusion was global-only at 1024; patch branch did not contribute to selected metrics.
03_deeplabv3,DeepLabV3-ResNet50 comparator,completed,negative_comparator,validation,0.7702792714789161,0.8702347520969547,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,wall=0.5,c1da3cccf9d06c1e7f0023ee04797493452c8bd031de5bd0125d9cb4230d11d8,459778bd07b1a0b8a60413a2e681bbd4ff7bd829,UNKNOWN,/mnt/e/AI_Team/mitunet/experiments/cubicasa5k_deeplabv3_resnet50/deeplabv3_resnet50_wall_512_imagenet_aux_seed42_20260805T154529Z,VERIFIED,Completed comparator; validation and test deltas were negative versus MitUNet baseline.
04_phase1_wall_structure,Phase 1 wall structure,completed,positive_structural_expansion,validation,0.8208656034763073,0.9016212969360846,UNKNOWN,0.6464444601388634,0.769385212829412,UNKNOWN,wall_region=0.05; centerline=0.95; junction=0.85; junction_nms_radius=3,UNKNOWN,459778bd07b1a0b8a60413a2e681bbd4ff7bd829,DVC not installed in run environment; targets recorded,/mnt/e/AI_Team/mitunet/phase1_wall_structure/experiments/mitunet_phase1_wall_region_centerline_junctions_20260807_163622_UTC,VERIFIED,Introduced centerline and junction structure metrics; no boundary or door head in this phase.
05_phase2_boundary_openings,Phase 2 boundary and door/openings,completed,mixed_phase2_expansion,validation,0.7708163311811328,0.8705773914644204,0.9347893344704645,0.38908625787638323,0.5278302922503402,0.7796991077953163,wall_region=0.05; centerline=0.95; junction=0.9; junction_nms_radius=2; wall_boundary=0.95; door_opening=0.85; door_min_component_area=1,UNKNOWN,459778bd07b1a0b8a60413a2e681bbd4ff7bd829,DVC available; full status scan deferred,/mnt/e/AI_Team/mitunet/phase2_wall_boundary_door_openings/experiments/mitunet_phase2_wall_boundary_door_openings_20260810_200219_UTC,VERIFIED,Boundary and door objectives verified; Phase 1-compatible structural metrics regressed versus saved Phase 1 evaluation.
06_binary_mitunet_1024,Binary MitUNet 1024 px global,completed,positive_high_resolution_baseline,validation,0.8259883607445844,0.904702766459881,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,wall=0.1,42cad015bf894e6afe11011424b7ed88c49a1512f81593f14df5b228d65a3910,ade0aa6ba01c72f02a32a33a605c36b54b264a7a,DVC hash UNKNOWN,/home/pmharris/dev/mitunet/experiments/cubicasa5k_mitunet/full_gpu_1024,VERIFIED,Standalone 1024 global training run; hybrid sweep later selected this checkpoint with global-only fusion.
07_mitunet_512_adamw,MitUNet 512 AdamW optimizer comparator,completed,negative_optimizer_comparator,test,0.8206001227094942,0.9014611308366193,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,wall=0.1; optimizer=AdamW; weight_decay=0.0,f29d009750da34be350b67cc6ecf6e987c8da30c53a7ce89bbae481c4f385044,core=0775f80a4cad366866990419aed18ea7434676f8; harness=not_git_repo,DVC hash UNKNOWN; reproducibility gate passed,/mnt/e/test/_folder/floorplan_ai/experiments/mitunet_cubicasa5k_512_adamw/20260901_134158,VERIFIED,Replaced Adam with AdamW at zero weight decay; test IoU and Dice regressed versus Adam control.
08_mitunet_1024_highres_runpod,MitUNet 1024 high-resolution crop treatment on RunPod,completed,negative_high_resolution_crop_treatment,validation,0.43214381550960096,0.6034922063407869,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,wall=0.1; train=1024 crop; validation=512 whole-plan letterbox,fe7899f0f6103c89c243e9dd5902d05db735a1174fbc8adcddf2be45810841ca,origin=6e55b50ab1cf8be9a40eb82efbb8a22b28c8f3c7; reported_runtime_repair=10907a7f6dafcad62a024f12c69b4383586f009d,DVC status UNKNOWN,/mnt/e/AI_Team/mitunet/fast1024_final_results,VERIFIED,Completed 10-epoch exploratory treatment on RunPod A100; comparison changes both resolution and spatial context; no test inference.
09_phase5_hierarchical_multihead_512,Phase 5 hierarchical multi-head MitUNet 512,completed,positive_gated_hierarchical_expansion,validation,0.8163773956524429,0.8989072398791883,0.9545912416245511,0.49923712059981695,0.7870734231563665,0.8802919575908823,structural_wall=0.05; wall_boundary=0.95; wall_centerline=0.95; junction=0.85; junction_nms_radius=3; endpoint=0.8; endpoint_nms_radius=3; door_opening=0.95; window_opening=0.9; fixtures=per-class (config.yaml); augmentation=off,c281b31974e194f216df3e2170eb5b2197d72a872713ed9176973940a95357ae,459778bd07b1a0b8a60413a2e681bbd4ff7bd829 (dirty; Phase 5 files untracked; file hashes in provenance),DVC status UNKNOWN,/mnt/e/AI_Team/mitunet/experiments/mitunet_hierarchical_multihead_512/mitunet_hierarchical_multihead_512_20260923_181223_UTC_NOAUG_FIXED,VERIFIED,Eight-head expansion from the 01 baseline; wall gate (reproduced baseline minus 0.005) met on all 26 joint epochs with val wall IoU delta -0.0027 at threshold 0.1; earlier augmentation-on runs failed the gate and were root-caused to an augmentation mismatch with the June 2026 baseline.
10_phase3a2_door_opening_v31_vs_v32_512,"Phase 3A.2 door-opening target ablation, candidate_v3.1 vs candidate_v3.2 (512)",training_complete_evaluation_incomplete,inconclusive_label_version_ablation,validation,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,full run: NOT_COMPUTED (evaluation stage not run; training used fixed 0.5); 5-epoch probe: A=0.5; B=0.3,A_best(ep30)=0ac081c478d1e80eae1d74388fd3948f53a2d67b4d40f79555e28d411f9f20ad; B_best(ep28)=7d9c17ab8724c8679625b0ca9e1ade61a989f5dd47982278e877033ad687a8f2,probe project has zero commits (HEAD None); source project 0775f80a4cad366866990419aed18ea7434676f8 (dirty),UNKNOWN; no MLflow run,/mnt/e/AI_Team/mitunet/phase3a2_shared_init_probe/phase3a2_v31_vs_v32_shared_init_probe_20260904_152111_UTC,VERIFIED,"Label ablation on DOOR OPENINGS, not walls; wall/structural columns are UNKNOWN because this model has no such heads, and door_object_f1 is UNKNOWN because the 30-epoch evaluation stage was never run. Full-run training-history values at FIXED threshold 0.5 on the 398-plan provisional common subset: A dice 0.810702838491235 / iou 0.6816654951591425 (best epoch 30); B dice 0.8066504533142688 / iou 0.6759548830890035 (best epoch 28); B-A iou -0.005710612070139. Only 8 of 4600 masks differ between arms and the single differing validation plan was predicted empty by both arms, so the arms are not separable from training variation. The 5-epoch probe is the only completed evaluation; its paired bootstrap gives B-A macro dice +0.004988 CI [0.000101, 0.009508] and macro iou +0.005386 CI [0.0000065, 0.011253], both lower bounds effectively at zero. Labels are provisional: 0 of 49 gold-review rows resolved. Test split sealed."
